epos_name,epos_category,sell_price_gbp,sell_unit,invoice_match,supplier,box_cost_gbp,box_spec,cost_per_unit_gbp,gross_margin_pct,rag,notes
Sharon punnet,Punnets,3.50,per punnet ~3-4 fruit,KAKI FRUIT SPAIN 24/4KG,Dole,10.00,24 units ~4KG,1.25 for 3,64.3,GREEN,Good margin on sharon punnet
Cherry vine tomatoes,Tomatoes,6.99,per 500G punnet,TOMATO CHERRY VINE NL 10X500G,Dole,17.00,10×500G = 5KG,1.70,75.7,GREEN,Excellent margin
Tomato Cherry Punnet,Tomatoes,1.20,per 250G punnet,CHERRY TOMATOES DUTCH X9,Holland,6.00,9 packs,0.67,44.2,GREEN,Good margin on small cherry punnet
Tomato Loose/Vine,Tomatoes,4.80,per kg,TOMATO VINE SPAIN 5KG,Dole,9.00,5KG,1.80,62.5,GREEN,Excellent margin
Peppers Red,Peppers,4.49,per kg,CAPSICUM RED NL 5KG,Dole,11.00,5KG,2.20,51.0,GREEN,Healthy margin confirmed (was flagged wrong earlier - it's fine)
Peppers Yellow,Peppers,4.49,per kg,CAPSICUM YELLOW SPAIN 5KG / YELLOW PEPPERS DUTCH,Holland,16.50,5KG approx,3.30,26.5,AMBER,Holland yellow peppers at ~£3.30/kg. £4.49 gives 26%. Dole yellow at £1.80/kg → 60% margin. Cost varies by source
sweet pepper,Peppers,1.00,per piece,CAPSICUM MIXED / SWEET,Various,,,,,AMBER,Pointy/sweet peppers. Cost varies. Market rate ~£1 each OK if cost <60p
Pointy pepper,Peppers,3.75,per piece,CAPSICUM POINTED SPAIN 5KG,Dole,7.50,5KG ~12-15 peppers,0.50,86.7,GREEN,Excellent margin if correct (pointed peppers at 50p each; selling at £3.75 seems very high vs market ~£1.20-1.50)
Peppers Mixed Pack,Peppers,2.39,per pack,CAPSICUM MIXED NL 10X500G,Dole,13.50,10×500G = 5KG,1.35 per 500G,43.5,GREEN,Good margin on 500G mixed pepper pack
Red/Green chili peppers,Peppers,0.20,per piece,CHILLIES RED 3KG,Holland,12.00,3KG ~100 chillies,0.12,40.0,GREEN,Cost ~12p each sell 20p = 40% margin. OK
Aubergine,,3.80,per kg (assumed),AUBERGINE NL 5KG,Dole,8.00,5KG,1.60,57.9,GREEN,If sold by weight: 58% margin. If per piece: £3.80 = 7.6× cost = price error. CONFIRM sell unit
Courgettes,,3.80,per kg (assumed),COURGETTES DUTCH/SPAIN,Holland,7.50,~10KG box,0.75,80.3,GREEN,Holland courgettes at 75p/kg. £3.80/kg = 80% margin. Or if per piece (~300g): cost 22p sell £1.14 portion = 81%. Either way healthy
Cucumber,,0.69,per piece,CUCUMBER DUTCH X14,Holland,6.50,14 cucumbers,0.46,33.3,AMBER,Holland X14 at £6.50 = 46p/each. Sell 69p = 33% margin. Better than Dole. Still consider £0.79-0.89
Celery,,1.20,per head,CELERY X16 GS,Holland,9.50,16 heads,0.59,50.6,GREEN,59p cost sell £1.20 = 51% margin. Good
Lettuce Iceberg,,1.15,per head,ICEBERG X10-X12,Holland,6.50,10-12 heads,0.54,52.8,GREEN,Good margin
Lettuce Romaine / Kos,,1.60,per head,COS LETTUCE GS X10,Holland,8.00,10 heads,0.80,50.0,GREEN,Good margin
Onions,Onion,1.35,per piece,ONION DUTCH 4KG / SA 20KG,Holland,4.50,4KG ~8-10 onions,0.45,66.7,GREEN,45p cost sell £1.35 = 67% margin. Strong
Onion Red,Onion,1.35,per piece,RED ONIONS DUTCH,Holland,7.80,per box,0.78,42.2,GREEN,~78p cost (estimate) sell £1.35 = 42% margin
Onion Net,Onion,1.00,per small net,ONION DUTCH 4KG,Holland,4.50,4KG,1.125 per kg,,,AMBER,Net weight? Cost ~£1.125/kg. If 1KG net at £1.00: selling at cost. Should be £1.49-1.69
Onions SPANISH,Onion,1.80,per piece,ONION SPAIN 20KG,Dole,15.00,20KG,0.75 per kg,,,GREEN,If sold per large Spanish onion (~300g): cost 22p sell £1.80 = 88% margin. Very good
Onion Small Sack,Onion,4.49,per small sack,ONION DUTCH 4KG,Holland,4.50,4KG,4.50 cost,0.2,RED,Selling at cost. £4.49 vs £4.50 box cost = loss. Price to £6.99
Shallots,Onion,1.60,per piece/pack,SHALLOT ROUND FR 20X250G,Dole,4.00,20×250G = 5KG,0.20 per 250G,,,GREEN,250G shallot pack costs 20p; sell £1.60 = 87.5% margin. Excellent
Garlic Bulb,,0.77,per bulb,GARLIC STRINGS / NETS,Holland,4.00 - 16.50,varies,0.20 - 0.83,0 - 74,AMBER,Cost varies widely. String garlic at £4/2 strings = £2/string; individual bulbs from string ~33p. Sell 77p = 57% margin
Garlic Pre-pack,,2.40,per prepacked net,GARLIC NET,Holland,2.40,per net,2.40,0.0,RED,Selling at cost. Market is £2.40-2.99 for garlic net wholesale. Should be £3.49-3.99 retail
Garlic Peeled Pack (1KG),Wholesale,6.90,per 1KG pack,GARLIC PEELED CN,Dole,3.00,single peeled,,,GREEN,If cost is ~£3 (China single at £3 March 2026) selling at £6.90 = 57% margin. But check actual bulk cost
Carrots,,1.25,per kg (assumed),CARROT UK 15KG PREPACKED,Dole,11.50,15×1KG bags,0.77,38.4,AMBER,Close to GREEN. Consider £1.49/kg for 48% margin
Carrot Bag 1KG,,1.00,per 1KG prepacked bag,CARROT UK 15KG PREPACKED,Dole,11.50,15×1KG bags,0.77,23.3,AMBER,Thin. Each prepacked 1KG bag costs 77p; selling £1 = 23% margin. £1.25 would give 38%
Mushroom,,4.58,per kg (assumed),MUSHROOM CUP POLAND 2.27KG,Dole,5.20,2.27KG,2.29,50.0,GREEN,If per kg: cost £2.29, sell £4.58 = 50% margin
Mushroom Punnet,,1.25,per 250G punnet,MUSHROOM POLAND 8X250G / 12X250G,Dole,5.80 - 9.00,8-12 packs,0.73 - 0.75,40.0,GREEN,250G mushroom punnet costs 73-75p; sell £1.25 = 40-41% margin. Borderline GREEN
Potato 2kg Bag,Potatoes,1.40,per 2KG bag,POTATO UK 10X2KG,Dole,7.50,10×2KG = 20KG,0.75,46.4,GREEN,Good margin confirmed this morning
Potato Loose,Potatoes,1.20,per kg,POTATO WASHED UK 25KG,Dole,7.00,25KG,0.28,76.7,GREEN,Excellent margin on loose washed potato
7.5 KG Potato,Potatoes,4.50,per 7.5KG bag,POTATO UK 7.5KG CARRIER,Dole,2.40,7.5KG bag,2.40,46.7,GREEN,Cost £2.40 sell £4.50 = 47% margin. Good
Sack of Potato 10x2kg,Potatoes,13.00,per 10×2KG sack,POTATO UK 10X2KG,Dole,7.50,10×2KG = 20KG,7.50,42.3,GREEN,Cost £7.50 sell £13 = 42% margin. Good
Cyprus potato,Potatoes,2.50,per bag,CYPRUS GREEN BAGS,Holland,20.00 - 22.00,per case,,,AMBER,Cyprus new potatoes. Holland at £20-22/case. Unclear pack size. Price seems low
Sweet Potato,Potatoes,2.99,per piece,POTATO SWEET EGYPT 6KG,Dole,8.50,6KG L2,1.42 per kg,,,GREEN,If each sweet potato ~400g: cost 57p; sell £2.99 = 81% margin. Very strong
Potatoes Baby Roast,Potatoes,2.25,per 500G punnet,,,,,,,NO_COST,Not directly in delivery notes. Likely Cyprus or UK baby potatoes
Miniature Salad Potatoes 2.5kg,Potatoes,4.99,per 2.5KG bag,,,,,,,NO_COST,Baby salad potatoes. Check supplier
Carrot Chips 1KG,Potato Wholesale,2.80,per 1KG,CARROT UK 15KG PREPACKED,Dole,11.50,15×1KG bags,0.77,72.5,GREEN,Carrot chips cut in-house from 77p/kg carrots; selling at £2.80/kg = 72% margin. Excellent value-add
Courgettes Chips 1KG,Potato Wholesale,3.56,per 1KG,COURGETTES DUTCH/SPAIN,Holland,7.50,~10KG,0.75,78.9,GREEN,Courgette chips cut in-house; 75p/kg cost → £3.56/kg = 79% margin. Strong value-add
Sweet Potato Chips 1KG,Potato Wholesale,3.56,per 1KG,POTATO SWEET EGYPT 6KG,Dole,8.50,6KG,1.42,60.1,GREEN,Good value-add margin on sweet potato chips
Peeled Potato Regular 10KG,Potato Wholesale,19.10,per 10KG,POTATO WASHED UK 25KG,Dole,7.00,25KG,2.80 per 10KG,85.3,GREEN,Value-add: 10KG raw costs £2.80; selling peeled at £19.10 = 85% margin (but labour cost not included)
Celeriac,,2.99,per piece,CELERIAC BOX X6,Holland,6.00,6 pieces,1.00,66.6,GREEN,Good margin
Kohlrabi,,4.20,per piece,KOHLRABI BOX,Holland,18.00,~15 pieces,1.20,71.4,GREEN,Good margin
Butternut Squash,,2.60,per piece,BUTTERNUT SQUASH SA 10KG,Dole,9.00,10KG,0.90 per kg,,,GREEN,If each squash ~1KG: cost 90p sell £2.60 = 65% margin
Swede,,1.60,per piece,SWEDES DUNGAIT,Holland,4.00,per box,0.50 est,68.8,GREEN,Estimate based on Holland swede price. Market ~80p-£1.20 each so £1.60 looks fine
Beetroot Loose,,1.98,per piece,BEETROOT NL 10KG NET,Dole,5.00,10KG,0.50 per kg,,,GREEN,If each beetroot ~300g: cost 15p sell £1.98 = 92% margin. Strong
Parsnip,,2.80,per pack,PARSNIPS BLACK BOX,Holland,6.50,per box ~10,0.65 est,76.8,GREEN,Estimate. Parsnip pack (3-4) costs ~65-85p; selling £2.80 = healthy
Leeks,,3.20,per piece/bunch,,,,,,,NO_COST,Not in delivery notes
Cabbage White,Cabbage,1.00,per piece,CABBAGE WHITE 25KG DUTCH,Holland,8.00,25KG ~10 cabbages,0.80,20.0,AMBER,Thin. 80p cost sell £1.00 = 20% margin. Should be £1.49
Cabbage Red,Cabbage,1.90,per piece,RED CABBAGE SMALL BAGS,Holland,11.00,per bag,0.92 est,51.6,GREEN,Good margin estimate
Peas in the pod,,7.00,per kg,PEA ITALY 3KG PODS,Dole,16.00,3KG,5.33,23.9,AMBER,Tight. £7 sell vs £5.33/kg cost = 24% margin. Could go to £8.99
Bean Sprouts,,0.89,per pack,BEAN SHOOTS SINGLE,Holland,0.50,per single,0.50,43.8,GREEN,50p cost sell 89p = 44% margin
Sugar Snaps,,1.69,per pack,,,,,,,NO_COST,Not in delivery notes
Fine Beans,,1.69,per pack,,,,,,,NO_COST,Not in delivery notes
Cress,,0.44,per punnet,SALAD CRESS X16,Holland,2.80,16 punnets,0.175,60.2,GREEN,Excellent margin on cress
Rhubarb,Exotic,4.00,per bunch,RHUBARB UK 5KG,Dole,18.00,5KG,3.60 per kg,,,RED,At £3.60/kg cost: 500G bunch costs £1.80; selling £4.00 = 55% margin. But £18/5KG is expensive. Check if March price applies. OK if sold correctly
Dates Medjool Loose,,14.80,per kg,DATE MEDJOOL EGYPT 5KG,Dole,30.00,5KG,6.00,59.5,GREEN,£6/kg cost sell £14.80/kg = 59.5% margin. Strong
Physallis Punnet,Punnets,1.69,per punnet,PHYSALLIS PUNNETS,Holland,1.10,per 2 punnets,0.55,67.5,GREEN,Good margin
Pomelo box,Citrus Wholesale,0.00,wholesale box,POMELO CHINA 10 BOX,Dole,14.00,10 units,14.00,,ZERO_PRICE,No sell price. Box of 10 Pomelos costs £14. Set wholesale price or archive
Lychees,Exotic,6.00,per bag/box,LYCHEE SA 2KG,Dole,15.00,2KG,15.00,,RED - LOSS,£6 sell vs £15 cost for 2KG box = major loss. Either selling less than 2KG or price error. Should be £9.50+ for 2KG
Litchi,Exotic,5.90,per bag,LYCHEE SA 2KG,Dole,15.00,2KG,15.00,,RED - LOSS,Same problem. £5.90 sell vs £15 cost
Ginger,Exotic,6.00,per piece,GINGER PP TURMERIC BOX,Holland,16.00,per box,,,AMBER,Holland ginger box at £16. Unclear units. Market £1-2 per 100g piece. £6 seems very high per piece
Tangerine Loose,Citrus,3.30,per kg,CLEMENTINE NARDOCOTT SP 66/10KG,Dole,17.00,66 units ~10KG,1.70,48.5,GREEN,Cost £1.70/kg sell £3.30/kg = 48% margin. Good
Apple Cooking,Apples,3.32,per kg,APPLE BRAMLEY UK 13KG,Dole,22.00,13KG,1.69,49.1,GREEN,Good margin on Bramley by weight
Apples Braeburn,Apples,2.99,per kg,APPLE BRAEBURN FRANCE 12KG,Dole,18.00,12KG,1.50,49.8,GREEN,Good margin
Apples Golden,Apples,2.99,per kg,APPLE GOLDEN DELICIOUS FR 12KG,Dole,18.00,12KG,1.50,49.8,GREEN,Good margin
Apples Gala,Apples,2.99,per kg,APPLE ROYAL GALA FR 12KG,Dole,18.00,12KG,1.50,49.8,GREEN,Good margin
Apples Granny,Apples,2.99,per kg,APPLE GRANNY SMITH FR 13KG,Dole,19.00,13KG,1.46,51.2,GREEN,Good margin
Apples Red Delicious,Apples,2.99,per kg,APPLE RED DELICIOUS ITALY 12KG,Dole,21.00,12KG,1.75,41.5,GREEN,Good margin
Apples Pink Lady,Apples,4.33,per kg,APPLE PINK LADY FR 4KG,Dole,7.50,~4KG,1.875,56.7,GREEN,Strong margin. Premium product justifies premium price
Pre Pack Apple,Apples,1.99,per prepacked bag,APPLE VARIOUS,Dole,12.00,12 bags,1.00,49.7,GREEN,£1 cost per prepack bag; sell £1.99 = 50% margin
pink lady tub,Apples,2.99,per tub,APPLE PINK LADY FR 4KG,Dole,7.50,~4KG,1.875,37.3,AMBER,If selling 500G tub at £2.99: cost ~94p; margin 69%. If per kg: cost £1.875 sell £2.99 = 37% margin
Pink Lady Pack,Apples,3.00,per pack,APPLE PINK LADY FR 4KG,Dole,7.50,~4KG,1.875,37.5,AMBER,Near-duplicate of pink lady tub. Consolidate. Price at £3.49-3.99 for better margin
Pink Lady Box,Wholesale,21.00,per box,APPLE PINK LADY FR 4KG box,Dole,7.50,4KG,7.50,64.3,GREEN,Selling 4KG box at £21 costs £7.50 → 64% margin. Excellent wholesale margin
Watermelon 4s,Melons,5.50,per piece,MELON WATER CR 4/16KG,Dole,19.50,4 units ~16KG,4.875,11.4,RED,Very thin at CR price. Brazil 5/16KG at £13 = £2.60 each → 53% margin = GREEN. Origin-dependent
Watermelon 6s,Melons,4.00,per piece,MELON WATER SMALLER,Various,,,,,NO_COST,No 6-count watermelon in delivery notes. Likely smaller melons. Cost unknown
Honeydew large,Melons,3.50,per piece,MELON HONEYDEW ES 6/5KG,Dole,6.00,6 units ~5KG,1.00,71.4,GREEN,ES 6/5KG at £6 = £1/melon. Selling £3.50 = 71% margin. Only valid if buying Spanish. Brazil 7/15KG at £21 = £3/melon → margin 14% = RED
Melon Honeydew,Melons,2.80,per piece,MELON HONEYDEW ES 6/5KG,Dole,6.00,6 units ~5KG,1.00,64.3,GREEN,Same as above. ES = 64% margin. Brazil = nearly break-even. TRACK ORIGIN
Melon Canteloupe,Melons,2.00,per piece,MELON CANTALOUPE BRAZIL 5/5KG,Dole,6.00,5 units ~5KG,1.20,40.0,GREEN,Good margin
Melon Galia,Melons,2.50,per piece,MELON GALIA BRAZIL 6/5KG,Dole,5.00 - 9.00,6 units ~5KG,0.83 - 1.50,40.0 - 66.8,GREEN,Range depending on supplier and season
Melon Piel Desapo,Melons,2.50,per piece,MELON PIEL DESAPO CR 9/15KG,Dole,17.00,9 units ~15KG,1.89,24.5,AMBER,Thin at CR price. £2.99 would give 37%
Pears Conference,,2.99,per kg,PEARS CONFERENCE BELGIUM 12KG,Dole,19.00,12KG,1.58,47.2,GREEN,Good margin
Date box small,Punnets,1.49,per small box,DATE MEDJOOL EGYPT 5KG,Dole,30.00,5KG,6.00 per kg,,,AMBER,Small date box ~150-200G costs £0.90-1.20. Sell £1.49 = 19-39% margin. Should be £1.99
Passion Fruit 3 for £1,,1.00,3 for £1,PASSION FRUIT COLOMBIA 2KG,Dole,14.00,2KG ~40 fruits,0.35,4.8,RED,3 passion fruits cost ~£1.05 vs sell £1 = slight loss. Price to 3 for £1.29 or 2 for £1
Bean Sprouts,,0.89,per pack,BEAN SHOOTS SINGLE,Holland,0.50,single,0.50,43.8,GREEN,Good margin
Chestnut,,0.10,per piece,,,,,,,NO_COST,Price error or very old. Market £1-2 per pack
Chestnuts net,,1.99,per net,,,,,,,NO_COST,Not in delivery notes
Bagged fruit,,1.00,per bag,,,,,,,NO_COST,Unclear what product. Likely a generic mixed bag
Pommy Pack of 3,Exotic,1.20,per 3-pack,POMEGRANATE ZA 8/5KG,Dole,10.00,8 units ~5KG,0.375 for 3 small pommy,68.8,GREEN,If selling 3 small pomegranate seeds packs. Cost estimate only
Pommy pack of 2,Exotic,0.99,per 2-pack,,,,,,,AMBER,Similar to above
Grandilo,,1.39,per piece,GRANADILLA FRANCE 18/2KG,Dole,20.00,18 units ~2KG,1.11,20.1,AMBER,Granadilla (passion fruit type) at £1.11 cost; sell £1.39 = 20% margin. Price to £1.99
Pithaya,,3.00,per piece,,,,,,,NO_COST,Dragon fruit (pitahaya). Not in delivery notes
Dragon fruit,,2.50,per piece,,,,,,,NO_COST,Also dragon fruit - two entries
Kumquat 5 for £1,Exotic,1.00,5 for £1,,,,,,,NO_COST,Not in delivery notes
10 Kamquats for £1,Citrus,1.00,10 for £1,,,,,,,NO_COST,Same product different count. Duplicates each other
Crambola,Exotic,1.50,per piece,STARFRUIT THAILAND 10/2.5KG,Dole,15.00,10 units,1.50,0.0,RED,Carambola = starfruit. Cost = sell price. Loss after wastage. Price to £2.50
Sharon Fruit Box (12) - MP,,7.50,per 12-count box,KAKI FRUIT SPAIN 24/4KG,Dole,10.00,24 units ~4KG,5.00 for 12,33.3,AMBER,Wholesale box of 12 sharon fruit. Cost £5; sell £7.50 = 33% margin
Sharon Fruit (12) - MP,,6.00,per 12-count box,KAKI FRUIT SPAIN 24/4KG,Dole,10.00,24 units ~4KG,5.00 for 12,16.7,RED,DUPLICATE of above but at lower price. £6 vs £5 cost = only 17% margin. Use £7.50 version only and delete this
Donut Peach Box (25) - MP,,6.00,per 25-count box,PEACH DONUT SPAIN 10X500G,Dole,18.00,10×500G = 5KG ~25 peaches,9.00 for 25,,,RED - LOSS,25 peaches cost ~£9 (18/10 × 5); selling at £6 = loss. Should be £12-14
Melon Piel Desapo Box (6) - MP,,10.00,per 6-melon box,MELON PIEL DESAPO CR 9/15KG,Dole,17.00,9 units,11.33 for 6,,,RED - LOSS,6 melons cost £11.33; selling at £10 = loss. Should be £14
Grapefruit Red Box (66),Citrus Wholesale,0.00,per box,GRAPEFRUIT SA/CYPRUS 35/15KG,Dole,20.00,35 units,,,ZERO_PRICE,No price. Cost of 66-count batch = 2 boxes ≈ £40. Set wholesale price
